A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_1 45 31 28 62 53 28 55 26 40 53 217 13 3581 635 3 378 394 117 158 12 441 27 99 123 1 3 43 129 255 150 9 64 28 69 758 5 123 366 4 153 18 112 1002 605 21 58 288 613 122 348 675 382 4 470 66 1713 388 740 1384 971 4 361 132 364 1 604 577 560 390 571 376 498 532 494 320 713 717 467 728 546 521 627 812 615 672 395 552 356 474 532 657 670 522 412 747
ASV_2 32 237 238 151 168 82 32 203 315 113 128 165 144 176 71 674 72 1116 78 122 239 19 65 139 2 145 858 260 3 196 7 166 205 54 16 1 64 23 1 0 326 152 3 783 477 178 717 6 23 205 375 355 23 322 164 24 2125 1115 453 33 229 281 72 151 1 585 344 338 219 479 433 266 539 223 410 233 569 307 280 329 568 200 779 329 312 289 279 173 478 433 794 458 276 332 518
ASV_3 268 0 584 1515 84 642 2614 191 2439 179 1269 209 469 171 381 189 0 258 149 252 0 0 55 127 0 144 0 0 158 86 0 235 0 21 293 1729 439 0 6339 217 55 94 444 0 0 174 0 1141 0 211 275 284 107 106 167 80 101 0 27 0 40 32 0 0 0 39 76 0 0 36 199 137 93 37 0 0 408 34 233 11 38 0 14 0 67 0 132 66 66 9 30 38 37 39 26
ASV_4 73 45 22 229 115 155 335 29 278 41 133 32 251 8 1 80 62 308 225 1 180 1 283 108 578 188 251 137 113 346 11 357 4 3 1 3 11 6 9 1 34 314 77 642 99 376 577 13 504 663 345 244 291 643 202 8 771 83 808 251 6 835 11 147 251 676 250 287 235 475 440 335 398 185 240 494 424 328 598 451 101 604 593 339 499 133 278 231 322 533 677 176 411 434 676
ASV_5 25 65 55 18 45 131 58 77 33 167 9 46 462 118 7 72 132 102 113 32 183 55 37 140 1 52 159 146 51 146 99 245 45 36 127 1 18 2 3 59 0 95 421 657 3 66 114 37 106 246 26 281 185 290 687 299 573 570 375 642 46 173 22 25 2 543 267 365 284 393 317 338 377 252 198 496 374 231 399 373 233 293 485 349 452 214 370 235 285 414 462 374 266 201 399
ASV_6 118 189 117 89 191 72 434 77 113 222 114 74 75 0 69 111 295 265 131 71 0 0 0 29 0 41 47 0 107 132 0 151 24 151 21 0 489 0 116 505 27 308 41 185 274 79 877 0 85 190 165 31 16 677 0 18 6 157 2481 0 67 973 0 0 0 0 361 76 53 95 126 153 317 0 192 493 106 0 0 0 0 445 0 222 282 211 0 672 135 0 629 454 1726 90 0
ASV_7 10 198 458 122 222 170 48 95 114 161 51 81 196 29 1 210 57 134 33 176 76 1 178 100 24 519 161 363 26 241 73 215 96 11 42 30 1 1 1 11 19 160 270 657 1 2 610 15 407 132 2 193 1 50 3 46 80 407 438 50 659 428 60 722 9 388 106 309 196 326 197 96 266 0 267 161 115 177 239 224 325 114 132 229 185 57 65 139 123 327 411 83 296 86 209
ASV_8 82 149 332 439 216 566 42 103 263 241 304 98 22 44 50 66 119 665 95 122 71 0 118 187 266 34 242 0 26 301 378 275 10 629 159 23 979 136 43 804 282 168 284 13 2872 400 840 1232 99 21 131 7 0 13 0 51 0 48 41 0 83 287 86 34 0 0 280 0 39 38 39 92 89 48 58 14 82 14 28 25 36 70 21 66 52 67 47 31 34 40 34 30 14 38 47
ASV_9 1 40 237 105 103 107 16 47 169 124 41 202 291 82 142 125 111 170 10 292 17 485 198 39 18 108 610 702 31 565 302 296 392 42 299 2 11 1 2 1 17 1 3 18 20 17 18 1 36 6 255 75 2 54 780 255 5 99 12 174 64 201 26 199 90 254 294 273 142 220 149 133 259 106 174 244 175 179 147 144 188 157 133 155 134 141 205 129 154 230 162 206 96 155 169
ASV_10 27 368 43 0 252 42 654 159 0 0 278 129 92 18 42 89 14 0 36 554 29 27 0 0 23 29 66 0 33 0 8 17 51 0 175 0 215 0 187 68 0 781 413 0 96 71 0 7 359 12 44 0 514 0 0 0 703 135 21 11 0 184 0 0 0 0 137 43 0 32 0 168 0 0 127 876 435 0 0 0 0 136 276 0 0 333 0 0 65 0 179 0 0 68 0
ASV_11 129 4 11 1 14 83 44 24 3 50 87 14 213 13 7 55 8 42 117 25 12 10 29 95 28 10 69 27 2 62 98 12 88 2 23 1240 42 42 182 97 23 662 1542 558 199 59 73 961 729 91 4 67 41 4 2 419 8 447 234 39 83 460 141 17 27 128 144 98 116 145 108 310 119 110 105 163 151 110 140 121 115 187 239 132 211 71 124 57 145 130 191 156 196 106 157
ASV_13 55 29 25 138 6 43 6 80 116 344 66 122 227 69 86 63 122 39 33 67 141 50 72 93 29 9 75 393 5 79 55 96 220 358 155 2 121 86 1 164 25 1 7 7 1 48 16 0 19 104 122 111 246 262 24 6 235 797 537 3 4 79 16 124 14 192 225 152 206 180 168 188 114 205 97 302 153 150 181 165 147 394 186 213 188 126 191 183 116 159 170 242 182 151 195
