A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
Ruminococcaceae_UCG-005 2828 3329 3461 2793 2915 3857 2771 2620 3426 3545 3518 3081 6180 3474 2405 4130 2818 3668 3343 3388 3479 1875 4025 3178 4417 2680 3840 4276 2933 3526 2288 3591 2604 3643 3084 1556 2206 2529 2590 2459 2983 4056 4183 6022 3718 3820 4561 1396 4859 4887 6594 6354 3712 5302 4665 4811 6490 5830 6842 5842 4811 6363 3187 4001 2717 4015 3239 3380 2005 3392 2885 2248 2923 3048 2414 3636 3394 2622 3070 3172 3055 3545 4713 2882 3359 1719 2439 1850 2834 3490 4132 3426 2960 2264 3722
Bacteroides 1926 1125 1731 2358 1681 1777 2890 1393 4102 960 2719 1828 2015 1211 1639 1731 1295 1063 902 1471 2214 1571 1413 1580 2213 1071 1978 1959 1239 1770 546 2524 905 845 786 2221 1524 1848 7263 1373 1672 1279 975 1249 374 2167 794 1417 472 1712 1562 2287 630 891 1265 1335 1885 1904 767 2872 1515 746 414 1176 1490 832 878 782 853 1520 1305 1389 922 1526 819 1029 2112 969 901 928 1482 544 509 970 2130 726 1168 861 1255 1089 783 729 954 556 682
Ruminococcus_1 320 386 447 383 383 329 458 180 562 786 260 195 376 244 201 207 443 522 337 256 61 23 97 95 312 151 92 382 135 214 348 260 126 409 230 150 1133 6 200 725 432 368 81 258 714 593 1042 53 249 315 300 71 48 749 0 68 8 250 2648 42 513 1185 886 404 555 103 396 100 219 269 532 328 474 9 685 690 464 82 185 64 268 874 228 462 443 420 430 716 341 490 1086 1247 2220 373 222
Agathobacter 23 106 195 151 136 240 86 92 191 262 110 200 394 130 240 155 128 302 69 207 126 234 198 98 193 137 294 306 96 253 170 215 228 208 167 46 81 42 77 29 112 57 118 157 116 125 133 20 104 136 288 228 60 140 356 212 140 178 163 280 226 208 96 255 172 246 336 368 183 195 187 122 356 64 156 273 202 168 188 116 232 190 184 162 123 160 274 165 117 251 210 224 120 140 174
Akkermansia 329 721 94 320 604 96 1289 337 294 51 509 280 506 365 151 267 1235 0 210 1163 68 387 896 350 58 193 529 675 187 21 321 256 549 11 315 111 384 0 575 158 571 1562 833 384 2084 202 135 25 1216 459 179 1013 1070 72 28 103 1644 481 403 181 630 320 201 802 670 0 331 277 366 133 32 112 11 27 398 241 212 160 70 30 26 75 107 130 26 473 32 0 807 683 541 0 5 52 95
Prevotellaceae_UCG-004 379 480 151 1137 428 40 159 277 321 186 213 621 588 177 429 560 171 94 215 393 346 708 1226 386 223 1190 625 495 466 136 245 554 447 113 206 0 421 1050 186 169 644 737 613 621 241 881 397 259 0 524 996 360 74 576 595 258 357 247 105 1146 430 659 109 310 1783 97 741 383 371 394 140 1851 280 481 410 212 500 72 1002 316 595 513 1357 145 76 205 341 174 165 549 358 202 130 45 424
Lachnospiraceae_NK4A136_group 43 18 253 223 124 127 137 109 152 137 110 97 63 213 176 53 84 146 175 217 123 299 260 131 454 147 198 161 28 111 185 145 169 241 280 414 151 241 246 223 346 58 91 180 1375 298 200 85 379 173 240 162 178 275 677 138 361 236 393 76 420 128 279 218 487 150 302 107 184 144 136 629 370 258 183 326 454 64 187 203 242 375 101 193 310 260 213 131 141 273 261 407 453 237 140
Alistipes 339 434 523 462 360 441 175 326 783 364 120 440 497 419 733 332 213 534 395 348 494 442 588 238 329 973 419 559 397 243 248 393 226 1011 328 38 173 460 180 313 499 439 220 563 688 592 236 55 38 245 211 902 1293 465 624 643 530 925 554 917 538 551 652 665 640 610 987 445 275 416 587 1080 515 626 298 588 868 488 787 623 309 379 551 556 289 413 492 177 491 375 643 266 350 582 164
Rikenellaceae_RC9_gut_group 447 559 693 437 499 429 0 283 560 1106 451 322 0 610 1084 565 983 661 524 416 826 741 1050 854 856 434 893 738 861 455 217 656 505 918 312 0 391 977 0 780 1082 645 197 993 118 676 1985 21 0 604 481 1425 238 512 1359 812 634 275 835 713 393 167 342 500 578 1034 434 457 523 455 832 1100 160 679 338 684 128 563 746 292 523 1273 563 1137 1394 267 445 205 661 421 316 1678 958 673 665
Ruminococcaceae_UCG-002 110 97 63 54 58 61 99 69 121 104 129 74 133 170 133 67 41 62 113 60 49 51 18 24 333 55 81 111 21 82 82 58 51 37 19 128 93 156 96 109 164 202 229 309 281 63 174 15 197 124 79 87 203 52 3 69 7 45 170 67 91 231 113 29 169 20 99 46 47 84 69 55 81 38 49 52 75 53 173 186 57 539 313 56 254 74 39 52 76 88 97 111 152 258 83
